DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.112875	11	2	3	1	6	5	2	0	52	0	0	2.0464	0	0.0014
DL	0.112982	11	2	3	1	12	2	1	0	107	0	0	8.16779	0	0
DL	0.112982	11	2	3	1	12	6	3	0	107	0	0	1.18283	0	0
DL	0.112982	11	2	3	1	12	8	2	0	107	0	0	-22.1235	1	1
DL	0.112982	11	2	3	7	6	5	4	0	52	0	0	-2.65003	1	1
DL	0.113125	11	3	0	1	6	5	2	0	52	0	0	2.05099	0	0.0014
DL	0.113232	11	3	0	1	12	2	1	0	107	0	0	8.00791	0	0
DL	0.113232	11	3	0	1	12	6	3	0	107	0	0	1.19569	0	0
DL	0.113232	11	3	0	1	12	8	2	0	107	0	0	-22.0586	1	1
DL	0.113232	11	3	0	7	6	5	4	0	52	0	0	-2.63726	1	1
DL	0.113375	11	3	1	1	6	5	2	0	52	0	0	1.75209	0	0.0014
DL	0.113482	11	3	1	1	12	7	3	0	107	0	0	-16.0419	1	1
DL	0.113482	11	3	1	1	12	2	1	0	107	0	0	4.68673	0	0
DL	0.113482	11	3	1	1	12	6	3	0	107	0	0	-1.58229	1	1
DL	0.113482	11	3	1	1	12	8	2	0	107	0	0	-22.1524	1	1
DL	0.113482	11	3	1	7	6	5	4	0	52	0	0	-2.61735	1	1
DL	0.113732	11	3	2	1	12	7	3	0	107	0	0	-13.6518	1	1
DL	0.113732	11	3	2	1	12	2	1	0	274	4	0	7.72957	0	0
DL	0.113732	11	3	2	1	12	6	3	0	107	0	0	1.52913	0	0.048
DL	0.113875	11	3	3	1	6	4	3	0	52	0	0	-40.9202	1	1
DL	0.113875	11	3	3	1	6	5	4	0	52	0	1	-15.4196	1	1
DL	0.113875	11	3	3	1	6	7	3	0	52	0	0	-16.3318	1	1
DL	0.113875	11	3	3	1	6	6	3	0	52	0	0	-1.7797	1	1
DL	0.113982	11	3	3	1	12	8	2	0	107	0	1	-22.098	1	1
DL	0.113982	11	3	3	1	12	2	1	0	274	4	0	4.79718	1	0.992308
DL	0.113982	11	3	3	7	6	4	5	0	52	0	0	-24.8501	1	1
DL	0.113982	11	3	3	7	6	5	4	0	52	0	2	-15.3906	1	1
DL	0.113982	11	3	3	7	6	7	2	0	52	0	0	-14.022	1	1
DL	0.113982	11	3	3	7	6	6	4	0	52	0	0	-19.6945	1	1
DL	0.114125	11	4	0	1	6	4	3	0	52	0	0	-40.8194	1	1
DL	0.114125	11	4	0	1	6	5	4	0	52	0	1	-15.2896	1	1
DL	0.114143	11	4	0	1	7	2	1	0	99	2	0	4.89288	0	0
DL	0.114143	11	4	0	1	7	6	4	0	61	0	0	-26.9614	1	1
DL	0.114232	11	4	0	1	12	8	2	0	107	0	1	-17.1701	1	1
DL	0.114232	11	4	0	1	12	7	2	0	107	0	0	-15.7318	1	1
DL	0.114232	11	4	0	7	6	4	5	0	52	0	0	-21.8061	1	1
DL	0.114232	11	4	0	7	6	5	4	0	52	0	2	-12.0916	1	1
UL	0.114232	11	4	0	8	5	6	3	0	43	0	0	4.12907 	0	0
UL	0.114232	11	4	0	8	5	2	1	0	43	0	0	14.7282 	0	0
DL	0.114339	11	4	1	1	4	4	3	0	33	0	0	-40.5996	1	1
DL	0.114375	11	4	1	1	6	5	4	0	52	0	1	-15.3095	1	1
DL	0.114393	11	4	1	1	7	2	1	0	158	4	0	4.76523	1	0.975191
DL	0.114411	11	4	1	5	4	4	4	0	33	0	0	2.24503	0	0
DL	0.114482	11	4	1	1	12	8	2	0	107	0	1	-21.9348	1	1
DL	0.114482	11	4	1	1	12	7	3	0	107	0	1	-14.7369	1	1
DL	0.114482	11	4	1	1	12	6	3	0	107	0	1	-1.6844	0	0
DL	0.114482	11	4	1	7	6	5	4	0	52	0	2	-12.2822	1	1
UL	0.114482	11	4	1	8	5	2	1	0	43	0	0	16.2305 	0	0
DL	0.114482	11	4	1	9	4	4	5	0	33	0	0	-20.6572	1	1
DL	0.114625	11	4	2	1	6	6	3	0	52	0	1	-1.77983	0	0.0014
DL	0.114625	11	4	2	1	6	5	4	0	52	0	3	-15.3022	1	1
DL	0.114625	11	4	2	1	6	4	3	0	52	0	1	-40.6294	1	1
DL	0.114643	11	4	2	1	7	2	1	0	99	2	0	7.57216	0	0
DL	0.114679	11	4	2	7	3	5	5	0	24	0	0	-4.51332	1	1
DL	0.114732	11	4	2	1	12	7	3	0	107	0	1	-9.59505	1	1
DL	0.114732	11	4	2	7	6	6	3	0	52	0	2	0.633083	1	0.791149
DL	0.114732	11	4	2	7	6	4	3	0	52	0	2	-14.5328	1	1
UL	0.114732	11	4	2	8	5	2	1	0	43	0	0	15.5113 	0	0
UL	0.114732	11	4	2	10	3	5	2	0	24	0	0	14.6347 	0	0
DL	0.114875	11	4	3	1	6	7	2	0	52	0	1	-17.348	1	1
DL	0.114875	11	4	3	1	6	6	4	0	52	0	1	-26.845	1	1
DL	0.114875	11	4	3	1	6	4	3	0	52	0	1	-40.79	1	1
DL	0.114875	11	4	3	1	6	5	4	0	52	0	3	-15.3445	1	1
DL	0.114982	11	4	3	1	12	8	2	0	107	0	2	-21.9808	1	1
DL	0.114982	11	4	3	1	12	2	1	0	274	4	1	4.88783	0	0
DL	0.114982	11	4	3	7	6	7	2	0	52	0	2	-17.2325	1	1
DL	0.114982	11	4	3	7	6	6	4	0	52	0	2	-26.818	1	1
DL	0.114982	11	4	3	7	6	4	3	0	52	0	2	-40.9326	1	1
DL	0.114982	11	4	3	7	6	5	5	0	52	0	0	-8.13936	1	1
DL	0.115089	11	5	0	1	4	4	3	0	33	0	1	-41.0566	1	1
DL	0.115125	11	5	0	1	6	5	4	0	52	0	3	-15.2861	1	1
DL	0.115143	11	5	0	1	7	6	4	0	61	0	1	-26.8986	1	1
DL	0.115161	11	5	0	5	4	4	3	0	33	0	2	-40.9851	1	1
DL	0.115232	11	5	0	1	12	8	2	0	107	0	2	-17.9925	1	1
DL	0.115232	11	5	0	1	12	2	1	0	172	2	0	5.21677	0	0
DL	0.115232	11	5	0	1	12	7	2	0	107	0	1	-17.2911	1	1
DL	0.115232	11	5	0	7	6	5	5	0	52	0	0	-2.94323	1	1
UL	0.115232	11	5	0	8	5	6	3	0	43	0	0	6.50506 	0	0
DL	0.115232	11	5	0	9	4	4	4	0	33	0	0	2.42353	0	0
DL	0.115375	11	5	1	1	6	4	5	0	52	0	1	-27.226	1	1
DL	0.115393	11	5	1	1	7	2	1	0	158	4	1	4.99861	0	0
DL	0.115393	11	5	1	1	7	6	4	0	61	0	2	-26.7431	1	1
DL	0.115482	11	5	1	1	12	8	2	0	107	0	2	-21.478	1	1
DL	0.115482	11	5	1	1	12	7	3	0	107	0	2	-14.7947	1	1
DL	0.115482	11	5	1	1	12	5	3	0	107	0	0	-15.7603	1	1
DL	0.115482	11	5	1	7	6	4	5	0	52	0	2	-26.3323	1	1
DL	0.115482	11	5	1	8	5	6	5	0	43	0	0	-16.1723	1	1
DL	0.115571	11	5	2	1	3	5	5	0	24	0	1	-9.15196	1	1
DL	0.115625	11	5	2	1	6	4	3	0	52	0	3	-40.8835	1	1
DL	0.115625	11	5	2	1	6	6	4	0	52	0	3	-22.4023	1	1
DL	0.115625	11	5	2	4	3	5	5	0	24	0	2	-9.20189	1	1
DL	0.115643	11	5	2	1	7	2	1	0	158	4	2	7.53208	0	0
DL	0.115732	11	5	2	1	12	7	3	0	107	0	2	-9.57398	1	1
DL	0.115732	11	5	2	7	6	4	3	0	52	0	3	-40.8238	1	1
DL	0.115732	11	5	2	7	6	6	5	0	52	0	0	-24.7498	1	1
DL	0.115732	11	5	2	7	6	5	3	0	52	0	0	-15.3325	1	1
DL	0.115839	11	5	3	1	4	4	3	0	33	0	3	-40.9706	1	1
DL	0.115875	11	5	3	1	6	7	2	0	52	0	3	-16.9713	1	1
DL	0.115875	11	5	3	1	6	5	5	0	52	0	1	-30.1582	1	1
DL	0.115911	11	5	3	5	4	4	4	0	33	0	0	2.39595	0	0
DL	0.115982	11	5	3	1	12	8	2	0	107	0	3	-21.4052	1	1
DL	0.115982	11	5	3	1	12	2	1	0	172	2	0	7.04203	0	0
DL	0.115982	11	5	3	1	12	6	5	0	107	0	0	-22.7767	1	1
DL	0.115982	11	5	3	7	6	5	5	0	52	0	2	-30.046	1	1
UL	0.115982	11	5	3	9	4	4	4	0	33	0	0	1.61628 	0	0.0065
DL	0.116125	11	6	0	1	6	5	5	0	52	0	1	-30.1208	1	1
DL	0.116125	11	6	0	1	6	4	5	0	52	0	3	-27.2904	1	1
DL	0.116143	11	6	0	1	7	6	4	0	61	0	3	-26.6976	1	1
DL	0.116232	11	6	0	1	12	7	2	0	107	0	2	-17.0442	1	1
DL	0.116232	11	6	0	1	12	8	2	0	107	0	3	-17.8856	1	1
DL	0.116232	11	6	0	1	12	2	1	0	172	2	0	5.39252	0	0
