timestamp,ueImsiComplete,numActiveUes,RRC.ConnMean,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),L3 serving Id(m_cellId),UE (imsi),L3 serving SINR,L3 serving SINR 3gpp,L3 neigh Id 1 (cellId),L3 neigh SINR 1,L3 neigh SINR 3gpp 1 (convertedSinr),L3 neigh Id 2 (cellId),L3 neigh SINR 2,L3 neigh SINR 3gpp 2 (convertedSinr),L3 neigh Id 3 (cellId),L3 neigh SINR 3,L3 neigh SINR 3gpp 3 (convertedSinr),L3 neigh Id 4 (cellId),L3 neigh SINR 4,L3 neigh SINR 3gpp 4 (convertedSinr),L3 neigh Id 5 (cellId),L3 neigh SINR 5,L3 neigh SINR 3gpp 5 (convertedSinr),L3 neigh Id 6 (cellId),L3 neigh SINR 6,L3 neigh SINR 3gpp 6 (convertedSinr),L3 neigh Id 7 (cellId),L3 neigh SINR 7,L3 neigh SINR 3gpp 7 (convertedSinr),L3 neigh Id 8 (cellId),L3 neigh SINR 8,L3 neigh SINR 3gpp 8 (convertedSinr)
1771730860838,00005,2,1,0,0,5,5,39.131258,125.000000,2,-4.036390,38.000000,4,-8.388994,29.000000,7,-8.600804,29.000000,6,-19.229110,8.000000,8,-19.235058,8.000000,3,-29.976048,0.000000,,,,,,
1771730860838,00007,2,1,0,0,5,7,12.444294,71.000000,6,13.783486,74.000000,4,3.302715,53.000000,7,3.284245,53.000000,2,-5.375439,36.000000,3,-13.790708,19.000000,8,-21.073123,4.000000,,,,,,
1771730860938,00007,4,4,0,0,5,7,17.674574,82.000000,6,14.005364,75.000000,7,1.363312,49.000000,4,1.049018,48.000000,2,-4.312411,38.000000,3,-14.842259,16.000000,8,-23.277153,0.000000,,,,,,
1771730860938,00003,4,4,0,0,5,3,0.437545,47.000000,6,13.652887,74.000000,3,9.466242,65.000000,4,7.266335,61.000000,2,4.617518,56.000000,7,-3.921157,38.000000,8,-19.107721,8.000000,,,,,,
1771730860938,00008,4,4,0,0,5,8,-3.690147,39.000000,2,10.554019,68.000000,4,9.172807,65.000000,3,7.721935,62.000000,8,-5.118573,36.000000,6,-5.618951,35.000000,7,-24.198820,0.000000,,,,,,
1771730860938,00009,4,4,0,0,5,9,-3.151674,40.000000,8,28.605861,104.000000,3,9.564232,66.000000,7,3.496877,53.000000,2,0.803868,48.000000,4,-5.446011,35.000000,6,-10.138026,26.000000,,,,,,
1771730861038,00003,3,3,0,0,5,3,0.232769,47.000000,6,9.510004,66.000000,4,7.734170,62.000000,2,7.381974,61.000000,3,5.095769,57.000000,7,-6.101437,34.000000,8,-23.703724,0.000000,,,,,,
1771730861038,00010,3,3,0,0,5,10,2.245661,51.000000,6,16.181250,79.000000,2,6.724702,60.000000,7,2.818655,52.000000,8,-2.785601,41.000000,4,-5.428004,35.000000,3,-18.729576,9.000000,,,,,,
1771730861038,00006,3,3,0,0,5,6,-9.584325,27.000000,2,29.902838,107.000000,8,11.588164,70.000000,3,3.582958,54.000000,4,2.287804,51.000000,7,0.848398,48.000000,6,-16.077960,14.000000,,,,,,
1771730861138,00010,3,3,0,0,5,10,-11.077468,24.000000,6,18.305101,83.000000,2,5.544161,58.000000,7,-1.752393,43.000000,4,-2.484480,41.000000,8,-5.080225,36.000000,3,-16.685031,13.000000,,,,,,
1771730861138,00006,3,3,0,0,5,6,-12.113209,22.000000,2,27.211955,101.000000,8,7.113189,61.000000,3,6.994470,60.000000,7,3.150292,53.000000,4,-0.678919,45.000000,6,-17.344801,11.000000,,,,,,
1771730861138,00004,3,3,0,0,5,4,-16.387534,13.000000,2,12.597167,72.000000,8,9.908600,66.000000,7,9.617832,66.000000,6,-2.417321,41.000000,4,-8.916863,28.000000,3,-20.823035,4.000000,,,,,,
1771730861238,00010,2,2,0,0,5,10,-15.949659,14.000000,6,16.173246,79.000000,2,9.234391,65.000000,7,2.309369,51.000000,4,-0.260369,46.000000,8,-3.840830,39.000000,3,-15.570178,15.000000,,,,,,
1771730861238,00002,2,2,0,0,5,2,0.018949,46.000000,8,14.070340,75.000000,3,12.245688,71.000000,2,6.911411,60.000000,7,-3.286078,40.000000,4,-11.801808,23.000000,6,-17.040060,12.000000,,,,,,
1771730861338,00010,3,3,0,0,5,10,-16.742471,13.000000,6,21.407828,90.000000,2,8.540782,64.000000,7,2.220127,51.000000,4,-4.546854,37.000000,8,-5.407358,35.000000,3,-14.423097,17.000000,,,,,,
1771730861338,00001,3,3,0,0,5,1,-9.176804,28.000000,3,22.162494,91.000000,2,9.500588,66.000000,4,5.213136,57.000000,7,-2.013663,42.000000,8,-9.218099,28.000000,6,-16.147094,14.000000,,,,,,
1771730861338,00007,3,3,0,0,5,7,12.505924,72.000000,6,13.862694,74.000000,7,1.473160,49.000000,4,-0.606448,45.000000,2,-5.603144,35.000000,3,-16.554006,13.000000,8,-17.772864,11.000000,,,,,,
