timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1771730860838,00008,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730860838,00012,111,4,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730860938,00005,111,4,139,139,1,14,0,165,78,165,0,0,20,87,19701,165,0,0,0,0,0,103,12,50,0,0,0,0,339197,3,36,11,36,0,0,25,2786,3.907134,36,0,0,0,0,0,36,0,0,0,0,0,0,118448,25125.341708,4500.000000
1771730860938,00006,111,4,139,139,1,14,0,165,78,165,0,0,20,87,19701,165,0,0,0,0,0,103,12,50,0,0,0,0,339197,3,109,59,109,0,0,50,15454,15.554350,109,0,0,0,0,0,47,12,50,0,0,0,0,111168,5649.427708,4710.000000
1771730860938,00011,111,4,139,139,1,14,0,165,78,165,0,0,20,87,19701,165,0,0,0,0,0,103,12,50,0,0,0,0,339197,3,20,8,20,0,0,12,1461,2.052482,20,0,0,0,0,0,20,0,0,0,0,0,0,109581,25125.341708,4500.000000
1771730861038,00012,111,4,139,139,1,9,0,143,132,140,3,0,13,11,64519,32,108,3,0,0,0,0,0,32,111,0,0,0,185294,1,143,132,140,3,0,11,64519,13.815818,32,108,3,0,0,0,0,0,32,111,0,0,0,185294,9047.115636,9950.000000
1771730861138,00012,111,4,139,139,1,19,0,133,80,133,0,0,27,53,31907,74,59,0,0,0,0,30,33,19,51,0,0,0,618629,2,93,69,93,0,0,24,28395,25.317857,34,59,0,0,0,0,0,23,19,51,0,0,0,284124,8531.432502,7750.000000
1771730861138,00007,111,4,139,139,1,19,0,133,80,133,0,0,27,53,31907,74,59,0,0,0,0,30,33,19,51,0,0,0,618629,2,40,11,40,0,0,29,3512,2.452723,40,0,0,0,0,0,30,10,0,0,0,0,0,334505,9825.373772,5240.000000
1771730861238,00005,111,4,139,139,1,0,0,88,31,88,0,0,1,57,4552,88,0,0,0,0,0,78,10,0,0,0,0,0,1440947,3,34,10,34,0,0,24,1904,1.090507,34,0,0,0,0,0,34,0,0,0,0,0,0,492066,25125.341708,6070.000000
1771730861238,00009,111,4,139,139,1,0,0,88,31,88,0,0,1,57,4552,88,0,0,0,0,0,78,10,0,0,0,0,0,1440947,3,31,10,31,0,0,21,1585,0.912060,31,0,0,0,0,0,21,10,0,0,0,0,0,486881,15718.301959,5240.000000
1771730861238,00014,111,4,139,139,1,0,0,88,31,88,0,0,1,57,4552,88,0,0,0,0,0,78,10,0,0,0,0,0,1440947,3,23,11,23,0,0,12,1063,0.614649,23,0,0,0,0,0,23,0,0,0,0,0,0,462000,9026.095268,5240.000000
1771730861338,00011,111,4,139,139,1,0,0,70,22,70,0,0,1,48,5400,70,0,0,0,0,0,70,0,0,0,0,0,0,1134318,2,42,12,42,0,0,30,3284,1.537007,42,0,0,0,0,0,42,0,0,0,0,0,0,613563,15811.740334,5340.000000
1771730861338,00004,111,4,139,139,1,0,0,70,22,70,0,0,1,48,5400,70,0,0,0,0,0,70,0,0,0,0,0,0,1134318,2,28,10,28,0,0,18,2116,0.991618,28,0,0,0,0,0,28,0,0,0,0,0,0,520755,9248.806237,5340.000000
