% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.321	1	0	1	238.77	0
0.322	1	0	2	151.492	0
0.323	1	0	3	181.284	0
0.324	1	0	4	213.406	0
0.325	1	0	5	252.559	0
0.326	1	0	6	5324.31	0
0.327	1	0	7	151.196	0
0.328	1	0	8	237.151	0
0.329	1	0	9	180.791	0
0.33	1	0	10	1218.17	0
0.331	1	0	11	213.676	0
0.332	1	0	12	182.033	0
0.333	1	0	13	217.889	0
0.334	1	0	14	158.496	0
0.335	1	0	15	188.674	0
0.336	1	0	16	627.805	0
0.337	1	0	17	646.496	0
0.338	1	0	18	372.519	0
0.339	1	0	19	242.537	0
0.34	1	0	20	5332.46	0
0.341	1	0	21	495.874	0
