% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
126	1	0	5	0	0	349	0	1	1	0
127	1	0	11	0	0	349	0	1	1	0
128	1	0	8	0	0	349	0	1	1	0
129	1	0	12	0	0	349	0	1	1	0
130	1	0	15	0	0	349	0	1	1	0
131	1	0	20	0	0	349	0	1	1	0
139	1	0	3	0	0	349	0	1	1	0
140	1	0	4	0	0	349	0	1	1	0
141	1	0	7	0	0	349	0	1	1	0
142	1	0	9	0	0	349	0	1	1	0
143	1	0	10	0	0	349	0	1	1	0
144	1	0	19	0	0	349	0	1	1	0
145	1	0	11	0	0	349	0	1	1	0
146	1	0	8	0	0	349	0	1	1	0
147	1	0	12	0	0	349	0	1	1	0
148	1	0	2	0	0	349	0	1	1	0
149	1	0	18	0	0	349	0	1	1	0
150	1	0	15	0	0	349	0	1	1	0
151	1	0	20	0	0	349	0	1	1	0
152	1	0	5	0	0	349	0	1	1	0
165	1	0	11	0	0	349	0	1	1	0
166	1	0	8	0	0	349	0	1	1	0
167	1	0	12	0	0	349	0	1	1	0
168	1	0	15	0	0	349	0	1	1	0
169	1	0	20	0	0	349	0	1	1	0
170	1	0	5	0	0	349	0	1	1	0
183	1	0	11	0	0	349	0	1	1	0
184	1	0	8	0	0	349	0	1	1	0
185	1	0	12	0	0	349	0	1	1	0
186	1	0	15	0	0	349	0	1	1	0
187	1	0	20	0	0	349	0	1	1	0
188	1	0	5	0	0	349	0	1	1	0
201	1	0	11	0	0	349	0	1	1	0
202	1	0	8	0	0	349	0	1	1	0
203	1	0	12	0	0	349	0	1	1	0
204	1	0	15	0	0	349	0	1	1	0
205	1	0	20	0	0	349	0	1	1	0
206	1	0	5	0	0	349	0	1	1	0
219	1	0	11	0	0	349	0	1	1	0
220	1	0	8	0	0	349	0	1	1	0
221	1	0	12	0	0	349	0	1	1	0
222	1	0	15	0	0	349	0	1	1	0
223	1	0	20	0	0	349	0	1	1	0
224	1	0	5	0	0	349	0	1	1	0
237	1	0	11	0	0	349	0	1	1	0
238	1	0	8	0	0	349	0	1	1	0
239	1	0	12	0	0	349	0	1	1	0
240	1	0	15	0	0	349	0	1	1	0
241	1	0	20	0	0	349	0	1	1	0
242	1	0	5	0	0	349	0	1	1	0
255	1	0	11	0	0	349	0	1	1	0
256	1	0	4	0	0	349	0	1	1	0
257	1	0	8	0	0	349	0	1	1	0
258	1	0	12	0	0	349	0	1	1	0
259	1	0	15	0	0	349	0	1	1	0
260	1	0	20	0	0	349	0	1	1	0
261	1	0	5	0	0	349	0	1	1	0
274	1	0	11	0	0	349	0	1	1	0
275	1	0	8	0	0	349	0	1	1	0
276	1	0	12	0	0	349	0	1	1	0
