timestamp,ueImsiComplete,plmId,nrCellId,dlAvailablePrbs,ulAvailablePrbs,qci,dlPrbUsage,ulPrbUsage,TB.TotNbrDl.1,TB.TotNbrDlInitial,TB.TotNbrDlInitial.Qpsk,TB.TotNbrDlInitial.16Qam,TB.TotNbrDlInitial.64Qam,RRU.PrbUsedDl,TB.ErrTotalNbrDl.1,QosFlow.PdcpPduVolumeDL_Filter,CARR.PDSCHMCSDist.Bin1,CARR.PDSCHMCSDist.Bin2,CARR.PDSCHMCSDist.Bin3,CARR.PDSCHMCSDist.Bin4,CARR.PDSCHMCSDist.Bin5,CARR.PDSCHMCSDist.Bin6,L1M.RS-SINR.Bin34,L1M.RS-SINR.Bin46,L1M.RS-SINR.Bin58,L1M.RS-SINR.Bin70,L1M.RS-SINR.Bin82,L1M.RS-SINR.Bin94,L1M.RS-SINR.Bin127,DRB.BufferSize.Qos,DRB.MeanActiveUeDl,TB.TotNbrDl.1.UEID,TB.TotNbrDlInitial.UEID,TB.TotNbrDlInitial.Qpsk.UEID,TB.TotNbrDlInitial.16Qam.UEID,TB.TotNbrDlInitial.64Qam.UEID,TB.ErrTotalNbrDl.1.UEID,QosFlow.PdcpPduVolumeDL_Filter.UEID,RRU.PrbUsedDl.UEID,CARR.PDSCHMCSDist.Bin1.UEID,CARR.PDSCHMCSDist.Bin2.UEID,CARR.PDSCHMCSDist.Bin3.UEID,CARR.PDSCHMCSDist.Bin4.UEID,CARR.PDSCHMCSDist.Bin5.UEID,CARR.PDSCHMCSDist.Bin6.UEID,L1M.RS-SINR.Bin34.UEID,L1M.RS-SINR.Bin46.UEID,L1M.RS-SINR.Bin58.UEID,L1M.RS-SINR.Bin70.UEID,L1M.RS-SINR.Bin82.UEID,L1M.RS-SINR.Bin94.UEID,L1M.RS-SINR.Bin127.UEID,DRB.BufferSize.Qos.UEID,DRB.UEThpDl.UEID,DRB.UEThpDlPdcpBased.UEID
1771730699848,00001,111,8,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699848,00018,111,8,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699848,00019,111,8,139,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000
1771730699948,00001,111,8,139,139,1,69,0,344,258,235,76,33,97,86,165009,219,16,47,49,13,0,0,1,105,145,83,8,2,12854,3,338,252,230,76,32,86,164795,97.970179,215,15,47,49,12,0,0,1,105,144,81,7,0,12854,5462.519451,9010.000000
1771730699948,00018,111,8,139,139,1,69,0,344,258,235,76,33,97,86,165009,219,16,47,49,13,0,0,1,105,145,83,8,2,12854,3,3,3,3,0,0,0,60,0.124107,2,1,0,0,0,0,0,0,0,1,2,0,0,0,181.333394,0.000000
1771730699948,00019,111,8,139,139,1,69,0,344,258,235,76,33,97,86,165009,219,16,47,49,13,0,0,1,105,145,83,8,2,12854,3,3,3,2,0,1,0,154,0.124107,2,0,0,0,1,0,0,0,0,0,0,1,2,0,181.333394,0.000000
1771730700048,00001,111,8,139,139,1,76,0,416,298,266,38,112,107,118,263435,167,99,27,47,76,0,0,0,63,234,61,58,0,2448,3,405,289,261,32,112,116,262662,107.402321,163,98,22,46,76,0,0,0,63,229,55,58,0,2448,5923.151226,9740.000000
1771730700048,00018,111,8,139,139,1,76,0,416,298,266,38,112,107,118,263435,167,99,27,47,76,0,0,0,63,234,61,58,0,2448,3,11,9,5,6,0,2,773,0.719821,4,1,5,1,0,0,0,0,0,5,6,0,0,0,300.482108,30.000000
1771730700048,00019,111,8,139,139,1,76,0,416,298,266,38,112,107,118,263435,167,99,27,47,76,0,0,0,63,234,61,58,0,2448,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1771730700148,00001,111,8,139,139,1,74,0,416,327,278,122,16,103,89,182530,121,157,102,22,14,0,0,0,7,151,245,13,0,98420,3,391,313,276,99,16,78,179847,103.033750,121,155,96,5,14,0,0,0,7,148,223,13,0,98420,7521.827421,12680.000000
1771730700148,00018,111,8,139,139,1,74,0,416,327,278,122,16,103,89,182530,121,157,102,22,14,0,0,0,7,151,245,13,0,98420,3,25,14,2,23,0,11,2683,0.893571,0,2,6,17,0,0,0,0,0,3,22,0,0,0,302.657829,110.000000
1771730700148,00019,111,8,139,139,1,74,0,416,327,278,122,16,103,89,182530,121,157,102,22,14,0,0,0,7,151,245,13,0,98420,3,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1771730700248,00001,111,8,139,139,1,80,0,426,335,283,40,103,112,91,263081,43,240,30,47,50,16,0,0,0,78,250,83,15,218940,4,408,319,283,39,86,89,259469,112.267321,43,240,30,46,49,0,0,0,0,78,250,80,0,218940,9745.853602,11420.000000
1771730700248,00018,111,8,139,139,1,80,0,426,335,283,40,103,112,91,263081,43,240,30,47,50,16,0,0,0,78,250,83,15,218940,4,18,16,0,1,17,2,3612,0.446786,0,0,0,1,1,16,0,0,0,0,0,3,15,0,292.300550,90.000000
1771730700248,00019,111,8,139,139,1,80,0,426,335,283,40,103,112,91,263081,43,240,30,47,50,16,0,0,0,78,250,83,15,218940,4,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.333394,0.000000
1771730700248,00003,111,8,139,139,1,80,0,426,335,283,40,103,112,91,263081,43,240,30,47,50,16,0,0,0,78,250,83,15,218940,4,0,0,0,0,0,0,0,0.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.334578,0.000000
